type_of_material	headline	web_url	pub_date	section_name
News	In 2021, We Were There: The Year’s 14 Most Popular Dispatches	https://www.nytimes.com/2021/12/30/world/europe/most-popular-dispatches-2021.html	2021-12-30T10:00:29+0000	World
News	Russia is poised on Ukraine’s border after a weekend of shelling and evacuations in the east.	https://www.nytimes.com/2022/02/21/world/europe/russia-is-poised-on-ukraines-border-after-a-weekend-of-shelling-and-evacuations-in-the-east.html	2022-02-21T08:46:04+0000	World
Obituary (Obit)	Elizabeth Martínez, Voice of the Chicana Movement, Dies at 95	https://www.nytimes.com/2021/06/29/us/elizabeth-martinez-voice-of-the-chicana-movement-dies-at-95.html	2021-06-29T19:27:46+0000	U.S.
News	As Virus Cases Surge, Biden Administration Encourages More Use of Antibody Treatments	https://www.nytimes.com/2021/08/12/us/politics/biden-covid-monoclonal-antibodies.html	2021-08-12T23:36:36+0000	U.S.
Op-Ed	He Won Super Bowls. Now He’s a Full-Time Caregiver.	https://www.nytimes.com/2021/08/24/opinion/nfl-tom-coughlin-psp.html	2021-08-24T09:04:09+0000	Opinion
News	Months Before Oil Spill, Pipeline May Have Taken Quiet Damage	https://www.nytimes.com/2021/10/09/us/oil-spill-pacific-ocean.html	2021-10-09T09:30:11+0000	U.S.
News	Want a Vaccine Reservation in South Korea? Try Waiting 111 Hours.	https://www.nytimes.com/2021/07/28/world/asia/south-korea-vaccine-covid.html	2021-07-28T06:55:57+0000	World
News	Navy Plane Crashes Along Virginia’s Eastern Shore, Killing One Crew Member	https://www.nytimes.com/2022/03/31/us/navy-plane-crash-virginia.html	2022-03-31T04:45:20+0000	U.S.
News	A former Boris Johnson adviser makes new accusations about the U.K. prime minister’s Covid response.	https://www.nytimes.com/2021/07/21/world/boris-johnson-whistle-blower-covid.html	2021-07-22T00:09:08+0000	World
News	These Are the 5 People Who Died in the Capitol Riot	https://www.nytimes.com/2021/01/11/us/who-died-in-capitol-building-attack.html	2021-01-11T23:14:12+0000	U.S.
News	The U.S. vaccine rollout needs to ‘hit the reset,’ an ex-F.D.A. chief says.	https://www.nytimes.com/2021/01/10/world/gottleib-reset-us-vaccines.html	2021-01-10T18:07:36+0000	World
Obituary (Obit)	Ruth Pearl, Mother of Murdered Reporter Daniel Pearl, Dies at 85	https://www.nytimes.com/2021/07/30/us/ruth-pearl-dead.html	2021-07-30T16:50:13+0000	U.S.
News	Remote Learning Isn’t Just for Kids	https://www.nytimes.com/2021/02/09/education/online-learning-older-adults.html	2021-02-09T10:00:12+0000	Education
News	The Webb Telescope, NASA’s Golden Surfer, Is Almost Ready, Again	https://www.nytimes.com/2021/02/02/science/webb-telescope-women-astronomy.html	2021-02-02T07:30:17+0000	Science
News	People Tied to Project Veritas Scrutinized in Theft of Diary From Biden’s Daughter	https://www.nytimes.com/2021/11/05/us/politics/project-veritas-investigation-ashley-biden-diary.html	2021-11-05T16:42:01+0000	U.S.
Op-Ed	The F.D.A. Has Reached a New Low	https://www.nytimes.com/2021/06/15/opinion/alzheimers-drug-aducanumab-fda.html	2021-06-15T11:19:40+0000	Opinion
Obituary (Obit)	Mark Glaze, Influential Gun Control Advocate, Dies at 51	https://www.nytimes.com/2021/11/06/us/mark-glaze-influential-gun-control-advocate-dies-at-51.html	2021-11-06T22:37:20+0000	U.S.
News	Answers to Your Questions About School and the Pandemic	https://www.nytimes.com/2022/01/19/us/coronavirus-schools.html	2022-01-19T17:21:57+0000	U.S.
News	‘What are we doing?’ Democrats in Congress demand action on gun control as Republicans push back.	https://www.nytimes.com/2021/03/23/us/politics/senate-gun-control.html	2021-03-23T13:58:55+0000	U.S.
News	An Officer Stabbed. A Bomb Plot Foiled. A Specter of Violence Divides Hong Kong.	https://www.nytimes.com/2021/07/06/world/asia/hong-kong-bomb-violence.html	2021-07-06T12:10:33+0000	World
News	U.S. still sees an invasion as imminent, dimming hopes for a Biden-Putin summit.	https://www.nytimes.com/2022/02/21/world/europe/us-still-sees-an-invasion-as-imminent-dimming-hopes-for-a-biden-putin-summit.html	2022-02-21T15:40:51+0000	World
Op-Ed	The West’s Best Allies for 20 Years Are in Grave Danger	https://www.nytimes.com/2021/08/11/opinion/afghanistan-media-taliban-america.html	2021-08-11T09:00:13+0000	Opinion
News	Villages are evacuated and ancient sites under threat from fires ravaging Europe.	https://www.nytimes.com/2021/08/05/world/europe/greece-wildfires.html	2021-08-05T12:24:57+0000	World
News	Appeals Court Rejects Trump’s Bid to Shield Material From Jan. 6 Inquiry	https://www.nytimes.com/2021/12/09/us/politics/trump-jan-6-documents.html	2021-12-09T22:21:54+0000	U.S.
News	Why the Governing Party Election Is the Main Event in Japan	https://www.nytimes.com/2021/09/28/world/asia/japan-liberal-democratic-party-election.html	2021-09-28T20:00:11+0000	World
News	Four House Democrats urge party leaders to fight for an expansive voting rights bill.	https://www.nytimes.com/2021/05/20/us/politics/democrats-voting-rights-bill.html	2021-05-20T20:04:37+0000	U.S.
News	After Dropping Free Community College Plan, Democrats Explore Options	https://www.nytimes.com/2021/10/22/us/politics/free-community-college-democrats.html	2021-10-22T19:58:31+0000	U.S.
News	With his reappointment on the line, Elizabeth Warren calls Jerome Powell ‘a dangerous man.’	https://www.nytimes.com/2021/09/28/us/politics/elizabeth-warren-jerome-powell-fed-chair.html	2021-09-28T17:22:29+0000	U.S.
News	Australians in India will be allowed to return home starting May 15	https://www.nytimes.com/2021/05/07/world/australians-in-india-will-be-allowed-to-return-home-starting-may-15.html	2021-05-07T08:57:41+0000	World
News	Old-Guard Senators Defy Changes in How Military Treats Sex Assault Cases	https://www.nytimes.com/2021/06/03/us/politics/gillibrand-military-sexual-assault.html	2021-06-03T09:00:19+0000	U.S.
News	BTS Took Center Stage at the U.N. Over One Million Fans Watched Live.	https://www.nytimes.com/2021/09/20/world/asia/bts-un-performance.html	2021-09-21T00:26:02+0000	World
News	A First for a First Lady: Jill Biden Will Balance Her Career and East Wing Duties	https://www.nytimes.com/2021/01/20/us/politics/jill-biden-first-lady.html	2021-01-20T23:20:41+0000	U.S.
News	How to help victims of the tornadoes.	https://www.nytimes.com/2021/12/13/us/how-to-help-victims-of-the-tornadoes.html	2021-12-13T01:59:24+0000	U.S.
News	Julian Assange to Wed in Prison in Britain	https://www.nytimes.com/2021/11/12/world/europe/julian-assange-stella-moris-marriage.html	2021-11-12T15:48:20+0000	World
News	After 7 Years of Failing to Fix Afghanistan, Ghani Makes a Hasty Escape	https://www.nytimes.com/2021/08/16/world/asia/afghanistan-president-ashraf-ghani.html	2021-08-16T22:12:15+0000	World
News	The White House threatens sanctions against Putin’s ‘inner circle’ if Russia invades Ukraine.	https://www.nytimes.com/2022/01/31/world/europe/putin-sanctions-list.html	2022-01-31T22:07:53+0000	World
News	Something Weird on the Beach Was Staining Their Feet. But What?	https://www.nytimes.com/2021/06/10/us/black-feet-maine-beaches.html	2021-06-10T15:53:18+0000	U.S.
News	5 Big Questions for the Political Year Ahead	https://www.nytimes.com/2022/01/07/us/politics/politics-inflation-redistricting.html	2022-01-08T00:09:01+0000	U.S.
News	The surge of the Delta variant has forced Americans to recalibrate.	https://www.nytimes.com/2021/08/16/us/the-surge-of-the-delta-variant-has-forced-americans-to-recalibrate.html	2021-08-16T17:10:51+0000	U.S.
News	American Vet Returns to Italy to Greet ‘Bambini’ He Last Saw in 1944	https://www.nytimes.com/2021/08/23/world/europe/american-vet-italy-children-WWII.html	2021-08-23T18:41:49+0000	World
News	Haiti Quake Toll Leaps to Nearly 2,000 Dead as Rain Pelts Survivors	https://www.nytimes.com/2021/08/17/world/americas/haiti-hurricane-storm.html	2021-08-17T11:04:42+0000	World
News	Graphic Video of Capitol Attack Leaves Emotions Raw but May Not Change Votes	https://www.nytimes.com/2021/02/10/us/politics/capitol-riot-footage-impeachment-trial.html	2021-02-11T01:10:49+0000	U.S.
News	Victory in Philadelphia Buoys Supporters of Progressive District Attorney	https://www.nytimes.com/2021/05/19/us/krasner-vega-philadelphia.html	2021-05-19T04:02:24+0000	U.S.
Op-Ed	The Really Big Fight on Voting Rights Is Just Around the Corner	https://www.nytimes.com/2021/06/22/opinion/voting-rights-john-lewis-act.html	2021-06-23T00:22:33+0000	Opinion
News	Turkey Is Next as Wildfires Afflict Mediterranean Countries	https://www.nytimes.com/2021/07/30/world/middleeast/turkey-fires-mediterranean-lebanon.html	2021-07-30T14:06:48+0000	World
News	Djokovic Returns to Warm Embrace in Home Country of Serbia	https://www.nytimes.com/2022/01/17/world/europe/novak-djokovic-australian-open-serbia.html	2022-01-17T15:13:18+0000	World
News	Mexico President’s Grip on Congress Slips, Showing Limits of His Mandate	https://www.nytimes.com/2021/06/07/world/americas/mexico-election-results-lopez-obrador.html	2021-06-07T13:34:52+0000	World
News	A Shift on Climate for Some G.O.P. Leaders	https://www.nytimes.com/2021/06/23/climate/nyt-climate-newsletter.html	2021-06-23T16:45:33+0000	Climate
News	Nando’s, a Chicken Chain Beloved in Britain, Struggles With Poultry Shortage	https://www.nytimes.com/2021/08/20/world/europe/nandos-chicken-shortage-closures-britain.html	2021-08-20T17:08:22+0000	World
News	‘Democracy Is Life’: The Grass-Roots Movement Taking On Sudan’s Generals	https://www.nytimes.com/2022/02/07/world/africa/sudan-protest-movement.html	2022-02-07T10:00:21+0000	World
News	The Plains and Upper Midwest are growing drier as drought deepens in the West.	https://www.nytimes.com/2021/08/25/us/drought.html	2021-08-25T09:00:01+0000	U.S.
